OBJECTID,COUNTYL,PASER
13368,125,3
12897,125,3
11100,125,7
13427,125,4
10560,125,4
10363,125,3
11719,125,2
12463,125,9
11491,125,2
13139,125,4
12994,125,5
11196,125,4
13238,125,8
13638,125,4
10778,125,2
13436,125,9
11602,125,2
12371,125,4
15076,125,9
12168,125,5
12617,125,2
13523,125,3
10453,125,2
12289,125,10
12710,125,6
13098,125,7
13313,125,7
12862,125,6
11098,125,3
10554,125,2
10343,125,4
11483,125,6
13121,125,3
12964,125,9
11172,125,4
13181,125,8
13625,125,2
10730,125,2
11347,125,8
12337,125,5
12805,125,9
15017,125,9
12563,125,4
10869,125,3
12010,125,9
10206,125,3
12239,125,5
12680,125,8
13069,125,3
13296,125,4
12841,125,3
11065,125,5
10306,125,3
11656,125,3
12433,125,8
12913,125,3
11137,125,3
13581,125,4
10684,125,4
13659,125,3
10465,125,3
11884,125,2
12305,125,9
12780,125,8
14999,125,9
13729,125,4
12558,125,4
13377,125,8
12937,125,3
13445,125,9
10604,125,3
10389,125,3
11767,125,2
11537,125,3
12227,125,8
12630,125,8
11229,125,3
13264,125,3
10781,125,2
10253,125,2
11622,125,9
12416,125,6
14226,163,5
12183,125,5
11122,125,4
10877,125,7
13557,125,3
10681,125,4
10443,125,3
14773,125,9
11296,125,3
12280,125,4
12746,125,5
12518,125,8
13372,125,3
12903,125,3
11128,125,4
12919,125,3
11143,125,4
13567,125,3
10695,125,4
13645,125,4
10484,125,3
12316,125,7
12771,125,8
12556,125,3
12939,125,3
13452,125,4
11976,125,3
10384,125,3
11765,125,2
12215,125,9
12641,125,3
13026,125,8
13263,125,3
10787,125,2
10270,125,2
11637,125,9
11391,125,5
12410,125,5
15087,125,7
14262,125,5
12174,125,5
10885,125,7
13552,125,3
10449,125,3
14770,125,9
11308,125,3
12285,125,4
12725,125,4
12526,125,6
13357,125,5
12882,125,3
13422,125,4
10558,125,5
10346,125,2
12474,125,8
11487,125,4
13140,125,7
12974,125,3
11226,125,3
13214,125,4
10981,125,8
13635,125,4
10776,125,2
13432,125,9
11376,125,6
12377,125,4
15062,125,9
14233,125,8
12151,125,7
12597,125,6
10864,125,3
13512,125,3
14665,125,9
10426,125,3
10202,125,3
12247,125,4
12709,125,6
13089,125,5
13328,125,5
12850,125,3
11094,125,3
10548,125,3
10341,125,4
11698,125,8
11287,125,1
13122,125,3
12952,125,9
11173,125,5
13599,125,4
10726,125,2
10511,125,2
12334,125,4
12792,125,3
15046,125,9
12130,125,2
12571,125,4
13118,125,3
10829,125,5
10590,125,3
10390,125,3
12212,125,9
12684,125,6
13057,125,2
13284,125,5
12823,125,3
11049,125,5
11882,125,2
10307,125,3
11655,125,3
12458,125,9
12915,125,2
11134,125,3
13541,125,2
10714,125,3
10462,125,2
11885,125,2
12315,125,7
12755,125,5
13712,125,4
12546,125,4
13366,125,3
12929,125,3
13437,125,9
10567,125,3
11975,125,3
10371,125,3
11757,125,2
12639,125,3
13180,125,8
13034,125,8
13257,125,4
11024,125,3
12480,125,8
10801,125,2
10259,125,2
11640,125,9
12422,125,6
15085,125,7
12599,125,6
10894,125,7
13511,125,3
10438,125,2
14775,125,6
11309,125,3
12298,125,4
12721,125,3
12520,125,8
13335,125,5
12892,125,3
10537,125,3
11732,125,2
12469,125,3
11507,125,2
11292,125,4
13151,125,9
13000,125,3
13232,125,9
13600,125,2
10762,125,5
13704,125,5
11583,125,8
12367,125,5
15061,125,4
12146,125,2
12581,125,9
12040,125,9
10213,125,2
14282,125,4
12253,125,5
12698,125,6
13071,125,3
13283,125,5
12870,125,4
11085,125,4
11913,125,3
10291,125,3
11284,125,1
12942,125,3
11167,125,5
13182,125,9
13571,125,2
10737,125,2
13649,125,4
10495,125,2
10546,125,2
12460,125,9
11493,125,3
11293,125,3
12990,125,5
13229,125,8
13603,125,7
10752,125,5
11582,125,8
11387,125,5
12385,125,4
15053,125,2
12162,125,4
12598,125,6
13516,125,2
12048,125,6
10412,125,3
14757,125,8
10194,125,2
12249,125,4
12694,125,6
13078,125,3
13314,125,4
12856,125,8
11068,125,5
10514,125,2
11915,125,3
10302,125,3
11694,125,8
11264,125,3
13103,125,4
12943,125,3
11185,125,4
13197,125,8
10963,125,2
13584,125,5
10719,125,4
10510,125,3
12354,125,4
12800,125,3
15030,125,8
12129,125,2
12586,125,2
10837,125,2
10614,125,3
10380,125,2
11782,125,9
11575,125,8
12223,125,8
12664,125,3
13050,125,3
13300,125,7
12839,125,3
11043,125,4
10249,125,2
11648,125,9
12456,125,9
13537,125,2
10703,125,4
10476,125,3
12309,125,4
12782,125,4
15013,125,9
13726,125,4
12548,125,6
13350,125,5
12927,125,3
13444,125,9
10564,125,3
11990,125,9
10361,125,3
11748,125,2
11538,125,3
12634,125,3
13178,125,8
13276,125,6
12489,125,8
10805,125,9
11629,125,9
12409,125,7
15078,125,7
14246,125,2
10891,125,7
13532,125,3
12028,125,9
10448,125,3
14768,125,6
11314,125,5
12292,125,10
12751,125,5
12502,125,8
13323,125,4
12888,125,3
10334,125,2
11504,125,2
11316,125,2
13110,125,2
12980,125,3
11197,125,4
13211,125,6
13626,125,3
10765,125,5
13707,125,5
11604,125,2
11378,125,6
12378,125,4
12788,125,3
15024,125,9
12150,125,7
12572,125,4
10870,125,3
13499,125,3
14656,125,9
12005,125,9
10414,125,3
10205,125,3
14285,125,4
12262,125,4
12668,125,3
13056,125,2
13299,125,4
12830,125,3
11092,125,3
11921,125,3
10311,125,4
11703,125,5
11260,125,2
12969,125,9
11163,125,4
13573,125,2
10716,125,3
13651,125,4
10504,125,2
12340,125,4
12773,125,8
14996,125,4
12530,125,6
13375,125,8
10813,125,9
10603,125,3
